"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Mar 20 14:24:08 UTC 2025","Thu Mar 20 14:24:09 UTC 2025","342","Test suite","Tests","api.BookTest","api.BookTest","verifyPostBookResponseSchema","verifyPostBookResponseSchema",""
"failed","Thu Mar 20 14:24:09 UTC 2025","Thu Mar 20 14:24:10 UTC 2025","297","Test suite","Tests","api.BookTest","api.BookTest","verifyPutBookByIdEndpointNegative","verifyPutBookByIdEndpointNegative",""
"broken","Thu Mar 20 14:24:02 UTC 2025","Thu Mar 20 14:24:02 UTC 2025","3","Test suite","Tests","api.BookTest","api.BookTest","verifyGetBookByIdEndpointNegative","verifyGetBookByIdEndpointNegative",""
"failed","Thu Mar 20 14:24:11 UTC 2025","Thu Mar 20 14:24:12 UTC 2025","285","Test suite","Tests","api.AuthorTest","api.AuthorTest","verifyPostAuthorEndpointNegative","verifyPostAuthorEndpointNegative",""
"passed","Thu Mar 20 14:24:10 UTC 2025","Thu Mar 20 14:24:10 UTC 2025","290","Test suite","Tests","api.AuthorTest","api.AuthorTest","verifyGetAuthorByIdEndpointNegative","verifyGetAuthorByIdEndpointNegative",""
"passed","Thu Mar 20 14:24:11 UTC 2025","Thu Mar 20 14:24:11 UTC 2025","287","Test suite","Tests","api.AuthorTest","api.AuthorTest","verifyPostAuthorsEndpoint","verifyPostAuthorsEndpoint",""
"passed","Thu Mar 20 14:24:10 UTC 2025","Thu Mar 20 14:24:10 UTC 2025","283","Test suite","Tests","api.AuthorTest","api.AuthorTest","verifyGetAuthorByIdEndpointNegative","verifyGetAuthorByIdEndpointNegative",""
"failed","Thu Mar 20 14:24:08 UTC 2025","Thu Mar 20 14:24:08 UTC 2025","314","Test suite","Tests","api.BookTest","api.BookTest","verifyPostBookEndpointNegative","verifyPostBookEndpointNegative",""
"failed","Thu Mar 20 14:24:11 UTC 2025","Thu Mar 20 14:24:11 UTC 2025","286","Test suite","Tests","api.AuthorTest","api.AuthorTest","verifyPostAuthorEndpointNegative","verifyPostAuthorEndpointNegative",""
"passed","Thu Mar 20 14:24:11 UTC 2025","Thu Mar 20 14:24:11 UTC 2025","299","Test suite","Tests","api.AuthorTest","api.AuthorTest","verifyPostAuthorsEndpoint","verifyPostAuthorsEndpoint",""
